2026-01-02 17:05:00,TQQQ,Buy,901,54.24
2026-01-02 19:50:00,TQQQ,Sell,-901,54.58
2026-01-02 20:15:00,TQQQ,Buy,913,53.66
2026-01-02 20:25:00,TQQQ,Sell,-913,52.93
2026-01-02 20:30:00,TQQQ,Buy,919,52.97
2026-01-02 20:50:00,TQQQ,Sell,-919,53.2
2026-01-08 19:35:00,TQQQ,Buy,897,54.375
2026-01-08 20:00:00,TQQQ,Sell,-897,53.71
2026-01-08 20:05:00,TQQQ,Buy,902,53.75
2026-01-08 20:50:00,TQQQ,Sell,-902,54.03
2026-01-09 19:35:00,TQQQ,Buy,898,54.16
2026-01-09 19:40:00,TQQQ,Sell,-898,54.68
2026-01-13 20:25:00,TQQQ,Buy,885,55.18
2026-01-13 20:50:00,TQQQ,Sell,-885,55.04
