2026-02-01 19:37:09,575 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 19:37:09,618 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 19:37:09,622 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 19:37:09,631 - INFO - [WEBHOOK #4] ALERT | TQQQ @ 52.93 | Stop loss triggered at -1.36%
2026-02-01 19:37:09,632 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 52.97 | BUY_L1 signal detected
2026-02-01 19:37:09,924 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 19:37:10,006 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.16 | BUY_L1 signal detected
2026-02-01 19:37:10,011 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 19:37:10,109 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 55.18 | BUY_L1 signal detected
