datetime,open,high,low,close,volume
2010-02-11 09:30:00,12875200.0,13000000.0,12209600.0,12316800.0,0.32
2010-02-12 09:30:00,12683200.0,12692800.0,12152000.0,12214400.0,0.32
2010-02-16 09:30:00,11948798.4,12148798.4,11743998.4,11780800.0,0.28
2010-02-17 09:30:00,11623998.4,11798401.6,11565760.0,11600000.0,0.28
2010-02-18 09:30:00,11585600.0,11640000.0,11288000.0,11321598.4,0.24
2010-02-19 09:30:00,11423998.4,11516800.0,11200000.0,11352000.0,0.28
2010-02-22 09:30:00,11228798.4,11548798.4,11220800.0,11422400.0,0.16
2010-02-23 09:30:00,11446398.4,12006398.4,11444800.0,11881598.4,0.32
2010-02-24 09:30:00,11676800.0,11729600.0,11369600.0,11510400.0,0.4
2010-02-25 09:30:00,11873601.6,12096001.6,11430400.0,11430400.0,0.32
2010-02-26 09:30:00,11520000.0,11630224.0,11329600.0,11368000.0,0.28
2010-03-01 09:30:00,11235200.0,11243200.0,10832000.0,10867216.0,0.32
2010-03-02 09:30:00,10768000.0,10849600.0,10589441.6,10783998.4,0.12
2010-03-03 09:30:00,10745600.0,10865600.0,10600000.0,10783998.4,0.16
2010-03-04 09:30:00,10724800.0,10873601.6,10611201.6,10649600.0,0.24
2010-03-05 09:30:00,10383998.4,10454400.0,10124800.0,10177600.0,0.36
2010-03-08 09:30:00,10110400.0,10129600.0,10032000.0,10094400.0,0.16
2010-03-09 09:30:00,10182400.0,10182400.0,9760000.0,9920000.0,0.48
2010-03-10 09:30:00,9832000.0,9849600.0,9617600.0,9681598.4,0.32
2010-03-11 09:30:00,9740800.0,9792048.0,9580800.0,9587200.0,0.4
2010-03-12 09:30:00,9465600.0,9662400.0,9465600.0,9572800.0,0.32
2010-03-15 09:30:00,9638144.0,9822400.0,9564800.0,9630384.0,0.32
2010-03-16 09:30:00,9545600.0,9623998.4,9411201.6,9444800.0,0.28
2010-03-17 09:30:00,9412800.0,9440720.0,9243200.0,9400000.0,0.44
2010-03-18 09:30:00,9345600.0,9408000.0,9249600.0,9288000.0,0.36
2010-03-19 09:30:00,9180800.0,9537600.0,9180800.0,9456001.6,0.52
2010-03-22 09:30:00,9543998.4,9583998.4,9073601.6,9190400.0,0.88
2010-03-23 09:30:00,9142400.0,9253184.0,8976001.6,9008000.0,0.64
2010-03-24 09:30:00,9052800.0,9182382.4,9041598.4,9103998.4,0.76
2010-03-25 09:30:00,8908798.4,9190400.0,8800000.0,9179200.0,0.8
2010-03-26 09:30:00,9057600.0,9275200.0,8948798.4,9123200.0,0.56
