datetime,open,high,low,close,volume
2026-01-21 10:40:00,615.2,615.58,615.15,615.32,26046.0
2026-01-21 10:41:00,615.34,615.78,615.28,615.73,25559.0
2026-01-21 10:42:00,615.74,615.84,615.65,615.76,12895.0
2026-01-21 10:43:00,615.76,615.81,615.43,615.52,12333.0
2026-01-21 10:44:00,615.53,615.72,615.4,615.67,10035.0
2026-01-21 10:45:00,615.67,616.03,615.67,615.96,28739.0
2026-01-21 10:46:00,615.98,616.16,615.92,615.98,10282.0
2026-01-21 10:47:00,615.99,616.1,615.94,616.1,15319.0
2026-01-21 10:48:00,616.09,616.25,615.96,616.04,22122.0
2026-01-21 10:49:00,616.05,616.22,615.98,616.07,19236.0
2026-01-21 10:50:00,616.11,616.3,616.02,616.24,15694.0
2026-01-21 10:51:00,616.25,616.46,616.09,616.31,16470.0
2026-01-21 10:52:00,616.29,616.35,615.92,615.96,24640.0
2026-01-21 10:53:00,615.94,616.44,615.94,616.44,11222.0
2026-01-21 10:54:00,616.43,616.481,616.36,616.45,20869.0
2026-01-21 10:55:00,616.43,616.49,616.12,616.13,19080.0
2026-01-21 10:56:00,616.13,616.15,615.85,615.95,18332.0
2026-01-21 10:57:00,615.94,616.16,615.88,616.15,20028.0
2026-01-21 10:58:00,616.15,616.26,616.15,616.24,10650.0
2026-01-21 10:59:00,616.22,616.29,616.01,616.05,20257.0
2026-01-21 11:00:00,616.02,616.23,615.98,616.02,17661.0
2026-01-21 11:01:00,616.08,616.23,615.96,616.14,14515.0
2026-01-21 11:02:00,616.16,616.18,615.93,615.96,18516.0
2026-01-21 11:03:00,616.0,616.06,615.88,615.98,5696.0
2026-01-21 11:04:00,615.99,616.02,615.86,615.87,2976.0
2026-01-21 11:05:00,615.88,615.89,615.5,615.85,12357.0
2026-01-21 11:06:00,615.9,616.26,615.9,616.14,14725.0
2026-01-21 11:07:00,616.13,616.13,615.69,615.811,10571.0
2026-01-21 11:08:00,615.82,615.88,615.66,615.72,4197.0
2026-01-21 11:09:00,615.63,615.75,615.59,615.73,3355.0
2026-01-21 11:10:00,615.73,616.01,615.55,616.01,5959.0
2026-01-21 11:11:00,616.0,616.3,615.971,616.3,17123.0
2026-01-21 11:12:00,616.29,616.61,616.26,616.55,36132.0
2026-01-21 11:13:00,616.53,616.54,616.19,616.29,12261.0
