2026-01-02 17:05:00,TQQQ,Buy,919,54.24
2026-01-02 19:50:00,TQQQ,Sell,-919,54.58
2026-01-02 20:15:00,TQQQ,Buy,932,53.66
2026-01-02 20:25:00,TQQQ,Sell,-932,52.93
2026-01-08 14:40:00,TQQQ,Buy,908,54.7
2026-01-08 18:30:00,TQQQ,Sell,-908,54.98
2026-01-08 19:35:00,TQQQ,Buy,916,54.375
2026-01-08 19:45:00,TQQQ,Sell,-916,53.82
2026-01-09 19:30:00,TQQQ,Buy,911,54.35
2026-01-09 19:40:00,TQQQ,Sell,-911,54.68
2026-01-09 20:10:00,TQQQ,Buy,921,53.96
2026-01-09 20:15:00,TQQQ,Sell,-921,54.61
2026-01-13 20:20:00,TQQQ,Buy,901,55.47
2026-01-13 20:50:00,TQQQ,Sell,-901,55.04
