TradeId,Symbol,Direction,EntryTime,EntryPrice,ExitPrice,EntryQuantity,ExitTime,ExitQuantity,ExitReason,GrossPnL,Commission,NetPnL,PnLPercent,NumEntries,MaxQuantity,HighestPrice,LowestPrice,MAE,MFE,DurationMinutes,SessionId,AlgorithmVersion,CreatedAt
916821,TQQQ,BUY,50:00.0,24.2575,25.4375,00:00.0,50:00.0,7706,regime_change_flat,9093.08,0,9093.08,4.8645,1,NULL,NULL,NULL,NULL,NULL,4320,POSTREND_20260207_184652_2d0df58a,NULL,47:14.0
916822,TQQQ,BUY,50:00.0,25.2875,25.95,00:00.0,50:00.0,7716,regime_change_flat,5111.85,0,5111.85,2.6199,1,NULL,NULL,NULL,NULL,NULL,14400,POSTREND_20260207_184652_2d0df58a,NULL,47:14.1
916823,TQQQ,BUY,50:00.0,25.805,33.9875,00:00.0,50:00.0,7740,regime_change_flat,63332.55,0,63332.55,31.709,1,NULL,NULL,NULL,NULL,NULL,152640,POSTREND_20260207_184652_2d0df58a,NULL,47:14.9
916824,TQQQ,BUY,50:00.0,35.2225,31.795,00:00.0,50:00.0,7288,regime_change_flat,-24979.62,0,-24979.62,-9.731,1,NULL,NULL,NULL,NULL,NULL,7200,POSTREND_20260207_184652_2d0df58a,NULL,47:15.0
916825,TQQQ,BUY,50:00.0,35.59,36.685,00:00.0,50:00.0,6581,regime_change_flat,7206.195,0,7206.195,3.0767,1,NULL,NULL,NULL,NULL,NULL,90720,POSTREND_20260207_184652_2d0df58a,NULL,47:15.5
916826,TQQQ,BUY,50:00.0,41.235,35.7775,00:00.0,50:00.0,5838,regime_change_flat,-31860.885,0,-31860.885,-13.2351,1,NULL,NULL,NULL,NULL,NULL,21600,POSTREND_20260207_184652_2d0df58a,NULL,47:15.6
916827,TQQQ,BUY,50:00.0,30.67,28.555,00:00.0,50:00.0,6914,regime_change_flat,-14623.11,0,-14623.11,-6.896,1,NULL,NULL,NULL,NULL,NULL,2880,POSTREND_20260207_184652_2d0df58a,NULL,47:16.0
916828,TQQQ,BUY,50:00.0,11.055,11.205,00:00.0,50:00.0,17991,regime_change_flat,2698.65,0,2698.65,1.3569,1,NULL,NULL,NULL,NULL,NULL,1440,POSTREND_20260207_184652_2d0df58a,NULL,47:17.3
916829,TQQQ,BUY,50:00.0,11.3475,20.14,00:00.0,50:00.0,17742,regime_change_flat,155996.535,0,155996.535,77.484,1,NULL,NULL,NULL,NULL,NULL,273600,POSTREND_20260207_184652_2d0df58a,NULL,47:18.2
916830,TQQQ,BUY,50:00.0,19.345,20.075,00:00.0,50:00.0,17664,regime_change_flat,12894.72,0,12894.72,3.7736,1,NULL,NULL,NULL,NULL,NULL,4320,POSTREND_20260207_184652_2d0df58a,NULL,47:18.2
916831,TQQQ,BUY,50:00.0,20.995,20.46,00:00.0,50:00.0,16829,regime_change_flat,-9003.515,0,-9003.515,-2.5482,1,NULL,NULL,NULL,NULL,NULL,12960,POSTREND_20260207_184652_2d0df58a,NULL,47:18.3
916832,TQQQ,BUY,50:00.0,20.5425,20.025,00:00.0,50:00.0,16805,regime_change_flat,-8696.5875,0,-8696.5875,-2.5192,1,NULL,NULL,NULL,NULL,NULL,10080,POSTREND_20260207_184652_2d0df58a,NULL,47:18.4
916833,TQQQ,BUY,50:00.0,19.425,19.315,00:00.0,50:00.0,17369,regime_change_flat,-1910.59,0,-1910.59,-0.5663,1,NULL,NULL,NULL,NULL,NULL,7200,POSTREND_20260207_184652_2d0df58a,NULL,47:18.5
916834,TQQQ,BUY,50:00.0,19.3075,18.47,00:00.0,50:00.0,17386,regime_change_flat,-14560.775,0,-14560.775,-4.3377,1,NULL,NULL,NULL,NULL,NULL,2880,POSTREND_20260207_184652_2d0df58a,NULL,47:18.5
916835,TQQQ,BUY,50:00.0,18.935,27.235,00:00.0,50:00.0,17036,regime_change_flat,141398.8,0,141398.8,43.8342,1,NULL,NULL,NULL,NULL,NULL,234720,POSTREND_20260207_184652_2d0df58a,NULL,47:19.4
916836,TQQQ,BUY,50:00.0,29.56,32.55,00:00.0,50:00.0,15217,regime_change_flat,45498.83,0,45498.83,10.115,1,NULL,NULL,NULL,NULL,NULL,113760,POSTREND_20260207_184652_2d0df58a,NULL,47:19.8
916837,TQQQ,BUY,50:00.0,34.6475,34.25,00:00.0,50:00.0,14165,regime_change_flat,-5630.5875,0,-5630.5875,-1.1473,1,NULL,NULL,NULL,NULL,NULL,11520,POSTREND_20260207_184652_2d0df58a,NULL,47:19.9
916838,TQQQ,BUY,50:00.0,33.255,34.43,00:00.0,50:00.0,14605,regime_change_flat,17160.875,0,17160.875,3.5333,1,NULL,NULL,NULL,NULL,NULL,1440,POSTREND_20260207_184652_2d0df58a,NULL,47:20.0
916839,TQQQ,BUY,50:00.0,33.45,32.02,00:00.0,50:00.0,14982,regime_change_flat,-21424.26,0,-21424.26,-4.275,1,NULL,NULL,NULL,NULL,NULL,5760,POSTREND_20260207_184652_2d0df58a,NULL,47:20.0
916840,TQQQ,BUY,50:00.0,32.755,37.635,00:00.0,50:00.0,14711,regime_change_flat,71789.68,0,71789.68,14.8985,1,NULL,NULL,NULL,NULL,NULL,171360,POSTREND_20260207_184652_2d0df58a,NULL,47:20.6
916841,TQQQ,BUY,50:00.0,40.28,40.54,00:00.0,50:00.0,13567,regime_change_flat,3527.42,0,3527.42,0.6455,1,NULL,NULL,NULL,NULL,NULL,17280,POSTREND_20260207_184652_2d0df58a,NULL,47:20.7
916842,TQQQ,BUY,50:00.0,40.915,41.75,00:00.0,50:00.0,13434,regime_change_flat,11217.39,0,11217.39,2.0408,1,NULL,NULL,NULL,NULL,NULL,8640,POSTREND_20260207_184652_2d0df58a,NULL,47:20.7
916843,TQQQ,BUY,50:00.0,41.355,38.57,00:00.0,50:00.0,13535,regime_change_flat,-37694.975,0,-37694.975,-6.7344,1,NULL,NULL,NULL,NULL,NULL,28800,POSTREND_20260207_184652_2d0df58a,NULL,47:20.8
916844,TQQQ,BUY,50:00.0,29.53,32.34,00:00.0,50:00.0,17806,regime_change_flat,50034.86,0,50034.86,9.5157,1,NULL,NULL,NULL,NULL,NULL,4320,POSTREND_20260207_184652_2d0df58a,NULL,47:21.3
916845,TQQQ,BUY,50:00.0,34.64,44.39,00:00.0,50:00.0,16479,regime_change_flat,160670.25,0,160670.25,28.1467,1,NULL,NULL,NULL,NULL,NULL,162720,POSTREND_20260207_184652_2d0df58a,NULL,47:21.9
916846,TQQQ,BUY,50:00.0,45.05,50.83,00:00.0,50:00.0,15881,regime_change_flat,91792.18,0,91792.18,12.8302,1,NULL,NULL,NULL,NULL,NULL,109440,POSTREND_20260207_184652_2d0df58a,NULL,47:22.5
916847,TQQQ,BUY,50:00.0,46.2,50.36,00:00.0,50:00.0,17274,regime_change_flat,71859.84,0,71859.84,9.0043,1,NULL,NULL,NULL,NULL,NULL,4320,POSTREND_20260207_184652_2d0df58a,NULL,47:22.6
916848,TQQQ,BUY,50:00.0,53.66,51.7,00:00.0,50:00.0,16078,regime_change_flat,-31512.88,0,-31512.88,-3.6526,1,NULL,NULL,NULL,NULL,NULL,21600,POSTREND_20260207_184652_2d0df58a,NULL,47:22.7
916849,TQQQ,BUY,50:00.0,54.16,54.01,00:00.0,50:00.0,15406,regime_change_flat,-2310.9,0,-2310.9,-0.277,1,NULL,NULL,NULL,NULL,NULL,20160,POSTREND_20260207_184652_2d0df58a,NULL,47:22.8
916850,TQQQ,BUY,50:00.0,54.48,52.96,15277,00:00.0,15277,end_of_backtest,-23221.04,0,-23221.04,-2.79,1,NULL,NULL,NULL,NULL,NULL,11530,POSTREND_20260207_184652_2d0df58a,NULL,47:22.8
