2026-01-02 17:05:00,TQQQ,Buy,1121,54.24
2026-01-02 19:50:00,TQQQ,Sell,-1121,54.58
2026-01-02 20:15:00,TQQQ,Buy,1138,53.66
2026-01-02 20:50:00,TQQQ,Sell,-1138,53.2
2026-01-08 14:45:00,TQQQ,Buy,1111,54.69
2026-01-08 18:25:00,TQQQ,Sell,-1111,54.97
2026-01-08 19:35:00,TQQQ,Buy,1120,54.375
2026-01-08 20:50:00,TQQQ,Sell,-1120,54.03
2026-01-09 19:30:00,TQQQ,Buy,1117,54.35
2026-01-09 19:40:00,TQQQ,Sell,-1117,54.68
2026-01-09 20:10:00,TQQQ,Buy,1129,53.96
2026-01-09 20:15:00,TQQQ,Sell,-1129,54.61
2026-01-13 20:20:00,TQQQ,Buy,1106,55.47
2026-01-13 20:50:00,TQQQ,Sell,-1106,55.04
