2026-01-02 17:05:00,TQQQ,Buy,1011,54.24
2026-01-02 19:50:00,TQQQ,Sell,-1011,54.58
2026-01-02 20:15:00,TQQQ,Buy,1025,53.66
2026-01-02 20:50:00,TQQQ,Sell,-1025,53.2
2026-01-05 18:25:00,TQQQ,Buy,1029,53.23
2026-01-05 19:00:00,TQQQ,Sell,-1029,53.53
2026-01-08 14:35:00,TQQQ,Buy,1003,54.76
2026-01-08 18:25:00,TQQQ,Sell,-1003,54.97
2026-01-08 19:35:00,TQQQ,Buy,1012,54.375
2026-01-08 20:50:00,TQQQ,Sell,-1012,54.03
2026-01-09 19:25:00,TQQQ,Buy,1007,54.46
2026-01-09 20:20:00,TQQQ,Sell,-1007,54.74
2026-01-13 20:20:00,TQQQ,Buy,992,55.47
2026-01-13 20:50:00,TQQQ,Sell,-992,55.04
