2026-01-02 17:05:00,TQQQ,Buy,974,54.24
2026-01-02 19:50:00,TQQQ,Sell,-974,54.58
2026-01-02 20:15:00,TQQQ,Buy,988,53.66
2026-01-02 20:50:00,TQQQ,Sell,-988,53.2
2026-01-08 14:40:00,TQQQ,Buy,965,54.7
2026-01-08 18:30:00,TQQQ,Sell,-965,54.98
2026-01-08 19:35:00,TQQQ,Buy,973,54.375
2026-01-08 20:50:00,TQQQ,Sell,-973,54.03
2026-01-09 19:30:00,TQQQ,Buy,970,54.35
2026-01-09 19:40:00,TQQQ,Sell,-970,54.68
2026-01-09 20:10:00,TQQQ,Buy,981,53.96
2026-01-09 20:15:00,TQQQ,Sell,-981,54.61
2026-01-13 20:20:00,TQQQ,Buy,960,55.47
2026-01-13 20:50:00,TQQQ,Sell,-960,55.04
