session_id,hash,sma_fast,sma_slow,bull_allocation,bear_allocation,use_cash_zone,mixed_allocation,rebalance_threshold,max_drawdown_exit,confirmation_days,signal_mode,breakout_lookback,data_resolution,algorithm_name,_optimization_run_id,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,cagr,avg_win,avg_loss,calmar_ratio
GLDTREND_20260210_095103_7d88e619,8ca23ea574a0,20,200,0.9,0,True,0,0.05,0,1,price,20,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_095103,0.2928,0.0971,0.134,0.4024,82,1.4197,0.028929999999999997,2752.7121,-1305.771,1.8332
GLDTREND_20260210_095135_4182ee38,f1ab7e7747dc,20,200,0.9,0,True,0,0.05,0,1,price,20,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_095103,0.08990000000000001,0.0568,0.138,0.3902,41,1.2091,0.029089999999999998,2553.9775,-1351.8944,0.6867
GLDTREND_20260210_095156_f9bcf1ac,42cbdf49aa5b,20,200,0.9,0,True,0,0.05,0,1,price,20,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_095103,0.41969999999999996,0.1562,0.254,0.3529,85,1.815,0.059109999999999996,3372.0627,-1013.4071,1.9228
GLDTREND_20260210_095219_051bb41d,4f4f1aba9d0c,20,200,0.9,0,True,0,0.05,0,1,price,20,minute,GLDPositionTrendAlgorithm,GLD_OPT_20260210_095103,0.9459000000000001,0.1301,0.254,0.385,187,1.6249,0.042190000000000005,3586.954,-1382.1181,3.0682
