session_id,hash,symbols,rsi_period,rsi_entry,rsi_exit,trend_sma,use_trend_filter,allocation,max_hold_days,TotalReturn,SharpeRatio,MaxDrawdown,WinRate,TotalTrades,ProfitFactor,CAGR,AvgWin,AvgLoss,CalmarRatio,ParametersJson
METF_20260210_171952_929eb473,1da33ec9d95b,QQQ,2,15,90,200,True,0.9,0,0.9404,0.2978,0.198,0.7375,80,2.177,0.03817,2978.1092,-3843.4743,3.4778,"{""symbols"": ""QQQ"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
METF_20260210_172041_affb2c9e,efcaa250ca11,SPY,2,15,90,200,True,0.9,0,0.9906,0.2878,0.113,0.7521,121,2.1327,0.039670000000000004,2070.3796,-2944.7513,5.4119,"{""symbols"": ""SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
METF_20260210_172134_8587575c,e758b53dd1f9,IWM,2,15,90,200,True,0.9,0,1.3753,0.2568,0.174,0.7054,129,1.8953,0.05011,3483.3646,-4401.2095,4.6573,"{""symbols"": ""IWM"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
METF_20260210_172238_8f832efd,7a0045f539c1,DIA,2,15,90,200,True,0.9,0,0.4226,0.183,0.154,0.685,127,1.6006,0.02012,1586.9554,-2156.4017,3.4855,"{""symbols"": ""DIA"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
METF_20260210_172326_aaf63e91,e22606482ad8,QQQ,2,15,90,200,False,0.9,0,0.125,0.0297,0.6890000000000001,0.7143,105,1.1197,0.00668,1627.4337,-3633.5717,0.1847,"{""symbols"": ""QQQ"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
METF_20260210_172419_2ebd1932,d6f498d7cf48,SPY,2,15,90,200,False,0.9,0,0.8714,0.1321,0.408,0.7442,172,1.4969,0.03605,2073.072,-4028.828,1.871,"{""symbols"": ""SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
METF_20260210_172543_d4f54be4,7fa7c02751d5,IWM,2,15,90,200,False,0.9,0,2.1325,0.1676,0.513,0.7457,173,1.6521,0.06666,4504.5789,-7993.9109,2.3832,"{""symbols"": ""IWM"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
METF_20260210_172637_725101d9,248ec315848b,DIA,2,15,90,200,False,0.9,0,0.8432999999999999,0.1425,0.379,0.7349,166,1.5031,0.03517,2367.7154,-4367.567,2.0135,"{""symbols"": ""DIA"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
METF_20260210_172735_5828456b,94507ea8c3c5,"QQQ,SPY",2,15,90,200,True,0.9,0,0.9818000000000001,0.2964,0.135,0.7463,201,2.1883,0.03941,1217.4099,-1636.2453,4.3011,"{""symbols"": ""QQQ,SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
METF_20260210_172829_3ec9d49e,4077a25d764e,"QQQ,SPY",2,15,90,200,False,0.9,0,0.5002,0.0999,0.544,0.7329,277,1.3873,0.02319,895.8426,-1771.4336,0.9876,"{""symbols"": ""QQQ,SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171952""}"
