session_id,hash,entry_period,exit_period,atr_period,risk_per_trade,atr_stop_multiple,leverage_factor,max_units,pyramid_atr_step,max_position_pct,max_hold_days,use_qqq_filter,algorithm_name,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,cagr,avg_win,avg_loss,calmar_ratio
TURTLE_20260207_164444_08a13364,483199923df1,20,10,20,0.005,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.094,0.1002,0.092,0.4562,160,1.329,0.011850000000000001,520.1719,-328.4182,1.1418
TURTLE_20260207_164526_ce11d496,75af96b5afc0,20,10,20,0.01,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.17370000000000002,0.0874,0.174,0.4506,162,1.2776,0.02121,1095.221,-703.1633,0.9695
TURTLE_20260207_171754_69764170,aff2aa699fbb,20,10,20,0.005,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.018500000000000003,0.1561,0.033,0.5455,22,1.4303,0.01789,512.8017,-430.243,1.3406
TURTLE_20260207_171818_d8925438,ffd9bed30f97,20,10,20,0.01,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.0359,0.1509,0.063,0.5455,22,1.4129,0.03463,1022.4283,-868.353,1.3029
TURTLE_20260207_171835_761bcb48,365d318528f5,20,10,20,0.005,1.5,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,-0.0044,-0.0393,0.028999999999999998,0.4,25,0.9068,-0.00425,427.304,-314.152,-0.2907
TURTLE_20260207_171850_1db0828b,1043d5b2511a,20,10,20,0.005,2.5,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.0265,0.2186,0.033,0.5909,22,1.645,0.02561,520.06,-456.6644,1.8457
TURTLE_20260207_171907_021a1582,4399f62d24e9,20,10,20,0.005,2.0,3.0,2,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.0059,0.0552,0.022000000000000002,0.5,20,1.1371,0.005679999999999999,487.834,-429.005,0.426
TURTLE_20260207_171928_55f29d8f,2513e42afc56,20,10,20,0.005,2.0,3.0,4,0.5,0.8,0,False,TQQQTurtleAlgorithm,-0.034,-0.2882,0.055,0.3529,34,0.5048,-0.03289,288.925,-312.1759,-0.9763
TURTLE_20260207_171944_8c78b5d8,be41766a7dd9,10,5,20,0.005,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.0076,0.0515,0.026000000000000002,0.5135,37,1.1213,0.00733,368.9263,-347.2928,0.5076
TURTLE_20260207_172001_4579a6f7,60b6c88fecda,10,5,20,0.01,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.014499999999999999,0.0492,0.051,0.5135,37,1.1154,0.01405,739.6458,-699.9478,0.4888
TURTLE_20260207_172016_8faa0ece,b949f262e95e,40,20,20,0.005,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.0406,0.5585,0.049,0.7143,14,4.7419,0.039169999999999996,630.736,-332.535,3.7419
TURTLE_20260207_172035_07b22f52,9d5c00cd7054,40,20,20,0.01,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.0812,0.5505,0.09300000000000001,0.7143,14,4.6352,0.07836,1282.354,-691.64,3.6352
TURTLE_20260207_172050_ac4f6586,458bde68d04d,55,20,20,0.005,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.0537,0.6914,0.040999999999999995,0.8333,12,6.6242,0.05187,632.644,-477.525,5.6242
TURTLE_20260207_172110_7280971f,0320edac6df6,20,10,14,0.005,2.0,3.0,3,0.5,0.8,0,False,TQQQTurtleAlgorithm,0.0255,0.2142,0.033,0.5238,21,1.6529,0.0246,586.1191,-390.072,1.9845
