session_id,hash,symbols,rsi_period,rsi_entry,rsi_exit,trend_sma,use_trend_filter,allocation,max_hold_days,TotalReturn,SharpeRatio,MaxDrawdown,WinRate,TotalTrades,ProfitFactor,CAGR,AvgWin,AvgLoss,CalmarRatio,ParametersJson
METF_20260210_180322_c54bf5a2,2967793d9f81,QQQ,2,15,90,200,True,0.9,0,0.9470999999999999,0.5447,0.11900000000000001,0.86,50,3.5086,0.11731,3355.2323,-5874.2643,9.5311,"{""symbols"": ""QQQ"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_180415_e18d408b,a3eced537a1c,SPY,2,15,90,200,True,0.9,0,0.753,0.5904,0.081,0.8261,46,4.3351,0.09795,2572.0353,-2818.1725,7.3173,"{""symbols"": ""SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_180513_9460a4c5,a5f72ad3c8ca,IWM,2,15,90,200,True,0.9,0,0.4167,0.3346,0.11699999999999999,0.6857,35,2.2,0.059699999999999996,3407.04,-3378.8791,3.6753,"{""symbols"": ""IWM"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_180648_4347f344,846608ce5a7e,DIA,2,15,90,200,True,0.9,0,0.5276,0.4705,0.07200000000000001,0.7917,48,3.136,0.07307999999999999,2060.0129,-2496.171,6.0297,"{""symbols"": ""DIA"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_180842_a10bc7d4,31138dd3f761,QQQ,2,15,90,200,False,0.9,0,1.0085,0.3902,0.218,0.8281,64,2.6219,0.12308999999999999,3341.5149,-6140.7064,6.1274,"{""symbols"": ""QQQ"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_180925_017a3524,5257ee57311a,SPY,2,15,90,200,False,0.9,0,0.6797,0.3022,0.278,0.7931,58,2.3996,0.09017,2529.498,-4040.815,3.6374,"{""symbols"": ""SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_181003_b5a41ee2,0ae153a3ef92,IWM,2,15,90,200,False,0.9,0,0.5514,0.1715,0.33799999999999997,0.7037,54,1.6038,0.07583999999999999,4078.9205,-6040.2694,2.2131,"{""symbols"": ""IWM"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_181042_6e4a767d,2b5d93d7cd3a,DIA,2,15,90,200,False,0.9,0,0.4321,0.2034,0.304,0.746,63,1.8967,0.06161,1968.2951,-3048.3675,2.1834,"{""symbols"": ""DIA"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_181125_b54bdfa1,a63bb87b90c5,"QQQ,SPY",2,15,90,200,True,0.9,0,0.8489,0.5639,0.08900000000000001,0.8438,96,3.8272,0.10772,1483.2031,-2092.732,9.3923,"{""symbols"": ""QQQ,SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_181208_61eaed15,2e67581f2a70,"QQQ,SPY",2,15,90,200,False,0.9,0,0.8397,0.3514,0.245,0.8115,122,2.5297,0.10680999999999999,1466.7212,-2495.6613,5.3273,"{""symbols"": ""QQQ,SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_181247_f6c3d8ee,9a754df5a12a,"QQQ,SPY,IWM",2,15,90,200,True,0.9,0,0.6967,0.4934,0.075,0.8015,131,3.2174,0.09199,1011.2229,-1269.2631,9.2162,"{""symbols"": ""QQQ,SPY,IWM"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_181330_ca022db1,55bb5688dd57,"QQQ,SPY,IWM",2,15,90,200,False,0.9,0,0.7528,0.275,0.26899999999999996,0.7784,176,2.1214,0.09792999999999999,1089.7319,-1804.4523,4.1377,"{""symbols"": ""QQQ,SPY,IWM"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_181409_bc04691a,2d086e7a2837,"QQQ,SPY,IWM,DIA",2,15,90,200,True,0.9,0,0.6518999999999999,0.4871,0.059000000000000004,0.7989,179,3.2094,0.08714000000000001,689.8391,-853.7947,8.82,"{""symbols"": ""QQQ,SPY,IWM,DIA"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
METF_20260210_181457_6ec14d8f,69b80215f7c1,"QQQ,SPY,IWM,DIA",2,15,90,200,False,0.9,0,0.6697,0.2619,0.27699999999999997,0.7699,239,2.0896,0.08907999999999999,726.3437,-1162.8662,3.6257,"{""symbols"": ""QQQ,SPY,IWM,DIA"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": false, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_180322""}"
