rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,stop_loss_pct,take_profit_pct,ema_fast_period,ema_slow_period,position_size_level1,position_size_level2,position_size_level3,trailing_stop_pct
18,28,72,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,30,70,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,32,68,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,28,72,29,1.5,0.015,0.022,8,20,0.55,0.28,0.17,0.0
18,30,70,29,1.5,0.015,0.022,8,20,0.55,0.28,0.17,0.0
18,32,68,29,1.5,0.015,0.022,8,20,0.55,0.28,0.17,0.0
18,28,72,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,30,70,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,32,68,29,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.015
18,28,72,29,1.5,0.015,0.022,8,20,0.55,0.28,0.17,0.015
18,30,70,29,1.5,0.015,0.022,8,20,0.55,0.28,0.17,0.015
18,32,68,29,1.5,0.015,0.022,8,20,0.55,0.28,0.17,0.015
18,30,70,29,1.5,0.010,0.015,8,20,0.55,0.28,0.17,0.0
18,30,70,29,1.5,0.018,0.025,8,20,0.55,0.28,0.17,0.0
18,30,70,29,2.0,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,30,70,29,2.0,0.015,0.022,8,20,0.55,0.28,0.17,0.0
18,30,70,20,1.5,0.012,0.018,8,20,0.55,0.28,0.17,0.0
18,30,70,20,2.0,0.015,0.022,9,21,0.55,0.28,0.17,0.0
14,30,70,20,2.0,0.012,0.018,9,21,0.55,0.28,0.17,0.0
14,30,70,20,2.0,0.015,0.022,9,21,0.55,0.28,0.17,0.015
