2026-01-02 17:05:00,TQQQ,Buy,1103,54.24
2026-01-02 19:50:00,TQQQ,Sell,-1103,54.58
2026-01-02 20:15:00,TQQQ,Buy,1119,53.66
2026-01-02 20:50:00,TQQQ,Sell,-1119,53.2
2026-01-08 14:40:00,TQQQ,Buy,1092,54.7
2026-01-08 18:30:00,TQQQ,Sell,-1092,54.98
2026-01-08 19:35:00,TQQQ,Buy,1102,54.375
2026-01-08 20:50:00,TQQQ,Sell,-1102,54.03
2026-01-09 19:30:00,TQQQ,Buy,1098,54.35
2026-01-09 19:40:00,TQQQ,Sell,-1098,54.68
2026-01-09 20:10:00,TQQQ,Buy,1110,53.96
2026-01-09 20:15:00,TQQQ,Sell,-1110,54.61
2026-01-13 20:20:00,TQQQ,Buy,1088,55.47
2026-01-13 20:50:00,TQQQ,Sell,-1088,55.04
