OutcomeId,BacktestId,StrategyId,StartDate,EndDate,TradingDays,ParametersJson,TotalReturn,CAGR,SharpeRatio,SortinoRatio,CalmarRatio,MaxDrawdown,MaxDrawdownDuration,Volatility,VaR_95,TotalTrades,WinningTrades,LosingTrades,WinRate,ProfitFactor,TotalProfit,TotalLoss,AverageWin,AverageLoss,LargestWin,LargestLoss,Expectancy,ExpectancyRatio,PrimaryRegime,RegimeBreakdown,PerformanceGrade,IsSuccessful,ExecutionTimeSeconds,CreatedAt,Notes,OptimizationRunId
12923,DAILYMR_20260207_174130_280c16ae,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.08, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.0268,-0.0259,-0.0507,-0.1631,-0.2291,0.147,NULL,0.0018,NULL,13,5,8,0.3846,0.8913,21982.3,24662.91,4396.46,3082.8638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41:47.6,NULL,NULL
12924,DAILYMR_20260207_174147_6f07912c,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.1, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0762,0.0736,0.1165,0.4526,0.8203,0.125,NULL,0.0016,NULL,9,4,5,0.4444,1.4009,26632.9,19010.83,6658.225,3802.166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42:02.9,NULL,NULL
12925,DAILYMR_20260207_174202_f25f5f6d,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.3, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0157,0.0152,0.0512,0.3828,0.2389,0.076,NULL,0.001,NULL,13,5,8,0.3846,1.1244,14191.53,12621.66,2838.306,1577.7075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42:20.0,NULL,NULL
12926,DAILYMR_20260207_174220_daefcdd4,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.7, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0259,0.025,0.0375,0.2527,0.1694,0.174,NULL,0.0024,NULL,13,5,8,0.3846,1.0892,31638.22,29048.34,6327.644,3631.0425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42:39.2,NULL,NULL
12927,DAILYMR_20260207_174239_38f6e330,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 10, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.0223,-0.0216,-0.0414,-0.0866,-0.1393,0.178,NULL,0.0015,NULL,13,5,8,0.3846,0.9049,21256.15,23489.17,4251.23,2936.1463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42:54.3,NULL,NULL
12928,DAILYMR_20260207_174254_2f9ea3bb,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 40, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0189,0.0182,0.0374,0.2301,0.1675,0.126,NULL,0.0017,NULL,13,5,8,0.3846,1.0889,23095.38,21209.16,4619.076,2651.145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43:07.5,NULL,NULL
12929,DAILYMR_20260207_174307_f66bebb0,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 0, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0189,0.0182,0.0374,0.2301,0.1675,0.126,NULL,0.0017,NULL,13,5,8,0.3846,1.0889,23095.38,21209.16,4619.076,2651.145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43:20.7,NULL,NULL
12930,DAILYMR_20260207_174320_190d6c85,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 2.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.0127,-0.0123,-0.0241,-0.1052,-0.1054,0.135,NULL,0.0017,NULL,14,5,9,0.3571,0.9466,22534.07,23806.23,4506.814,2645.1367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43:37.8,NULL,NULL
12931,DAILYMR_20260207_174337_bac65269,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 3.0, ""atr_period"": 14, ""use_rsi_filter"": false, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",0.0222,0.0215,0.0442,0.3126,0.2025,0.126,NULL,0.0017,NULL,13,5,8,0.3846,1.1061,23134.2,20914.41,4626.84,2614.3012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43:55.1,NULL,NULL
12932,DAILYMR_20260207_174355_c33ffd46,DAILY_MEAN_REVERSION,1/2/2025,1/14/2026,NULL,"{""zscore_lookback"": 30, ""entry_zscore"": 2.0, ""exit_target_zscore"": 0.0, ""stop_loss_pct"": 0.05, ""position_size"": 0.5, ""max_hold_days"": 20, ""min_days_between"": 1, ""trailing_stop_atr"": 0.0, ""atr_period"": 14, ""use_rsi_filter"": true, ""rsi_period"": 14, ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""use_vol_scaling"": false, ""vol_scale_threshold"": 1.5, ""vol_scale_factor"": 0.5, ""algorithm_name"": ""TQQQDailyMeanReversionAlgorithm""}",-0.1345,-0.1303,-3.6078,-3.6078,-1,0.151,NULL,0.0009,NULL,5,0,5,0,0,0,13452.97,0,2690.594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44:10.2,NULL,NULL
