datetime,ticker,open,high,low,close,volume,vwap,transactions
2026-02-03 04:00:00-05:00,QQQ,629.34,629.84,629.15,629.78,8076.0,629.5178,125
2026-02-03 04:01:00-05:00,QQQ,629.68,629.83,629.67,629.8,1925.0,629.7496,38
2026-02-03 04:02:00-05:00,QQQ,629.81,629.87,629.71,629.73,1796.0,629.8197,34
2026-02-03 04:03:00-05:00,QQQ,629.67,629.67,629.46,629.61,2718.0,629.5213,40
2026-02-03 04:04:00-05:00,QQQ,629.59,629.66,629.55,629.66,1178.0,629.6086,28
2026-02-03 04:05:00-05:00,QQQ,629.97,630.1,629.96,630.1,3864.0,629.9972,107
2026-02-03 04:06:00-05:00,QQQ,630.09,630.1,629.85,629.85,2874.0,630.0352,67
2026-02-03 04:07:00-05:00,QQQ,629.88,629.92,629.88,629.92,555.0,629.9184,18
2026-02-03 04:08:00-05:00,QQQ,630.0,630.0,629.93,629.93,1325.0,629.9431,28
2026-02-03 04:09:00-05:00,QQQ,629.86,629.89,629.83,629.89,1581.0,629.8595,28
2026-02-03 04:10:00-05:00,QQQ,629.6,629.6,629.45,629.58,2346.0,629.4911,34
2026-02-03 04:11:00-05:00,QQQ,629.57,629.6,629.52,629.52,1992.0,629.5703,52
2026-02-03 04:12:00-05:00,QQQ,629.42,629.48,629.42,629.48,807.0,629.449,12
2026-02-03 04:13:00-05:00,QQQ,629.44,629.44,629.34,629.34,335.0,629.4044,16
2026-02-03 04:14:00-05:00,QQQ,629.45,629.45,629.35,629.36,1897.0,629.3827,28
2026-02-03 04:15:00-05:00,QQQ,629.33,629.35,629.33,629.35,744.0,629.336,13
2026-02-03 04:16:00-05:00,QQQ,629.38,629.57,629.36,629.57,2469.0,629.456,32
2026-02-03 04:17:00-05:00,QQQ,629.55,629.58,629.5,629.57,1255.0,629.5404,26
2026-02-03 04:18:00-05:00,QQQ,629.52,629.52,629.51,629.51,497.0,629.5037,17
2026-02-03 04:19:00-05:00,QQQ,629.48,629.55,629.48,629.55,294.0,629.5156,10
2026-02-03 04:20:00-05:00,QQQ,629.46,629.57,629.4,629.51,3238.0,629.4898,48
2026-02-03 04:21:00-05:00,QQQ,629.46,629.59,629.36,629.57,2178.0,629.5102,22
2026-02-03 04:22:00-05:00,QQQ,629.52,629.58,629.43,629.46,3635.0,629.5013,47
2026-02-03 04:23:00-05:00,QQQ,629.44,629.46,629.25,629.25,1462.0,629.3824,28
2026-02-03 04:24:00-05:00,QQQ,629.27,629.36,629.19,629.22,1139.0,629.2535,23
2026-02-03 04:25:00-05:00,QQQ,629.06,629.08,628.95,628.97,3921.0,629.0136,75
2026-02-03 04:26:00-05:00,QQQ,628.97,629.18,628.94,629.14,3923.0,629.0877,62
2026-02-03 04:27:00-05:00,QQQ,629.14,629.18,629.04,629.04,919.0,629.1069,15
2026-02-03 04:28:00-05:00,QQQ,629.04,629.13,629.04,629.1,2356.0,629.0831,31
