2026-02-01 18:50:23,955 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 18:50:24,010 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 18:50:24,010 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 18:50:24,392 - INFO - [WEBHOOK #4] SIGNAL | TQQQ @ 54.76 | BUY_L1 signal detected
2026-02-01 18:50:24,438 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.97 | TAKE_PROFIT signal detected
2026-02-01 18:50:24,443 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 18:50:24,526 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.46 | BUY_L1 signal detected
2026-02-01 18:50:24,543 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.74 | TAKE_PROFIT signal detected
2026-02-01 18:50:24,703 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
