2026-01-02 17:05:00,TQQQ,Buy,698,54.24
2026-01-02 19:50:00,TQQQ,Sell,-698,54.58
2026-01-02 20:15:00,TQQQ,Buy,708,53.66
2026-01-02 20:25:00,TQQQ,Sell,-708,52.93
2026-01-02 20:30:00,TQQQ,Buy,713,52.97
2026-01-02 20:50:00,TQQQ,Sell,-713,53.2
2026-01-08 19:35:00,TQQQ,Buy,696,54.375
2026-01-08 20:50:00,TQQQ,Sell,-696,54.03
2026-01-09 19:30:00,TQQQ,Buy,694,54.35
2026-01-09 19:40:00,TQQQ,Sell,-694,54.68
2026-01-09 20:10:00,TQQQ,Buy,701,53.96
2026-01-09 20:15:00,TQQQ,Sell,-701,54.61
2026-01-13 20:25:00,TQQQ,Buy,689,55.18
2026-01-13 20:50:00,TQQQ,Sell,-689,55.04
