2026-01-02 17:05:00,TQQQ,Buy,974,54.24
2026-01-02 19:50:00,TQQQ,Sell,-974,54.58
2026-01-02 20:15:00,TQQQ,Buy,988,53.66
2026-01-02 20:25:00,TQQQ,Sell,-988,52.93
2026-01-02 20:30:00,TQQQ,Buy,994,52.97
2026-01-02 20:50:00,TQQQ,Sell,-994,53.2
2026-01-08 19:35:00,TQQQ,Buy,970,54.375
2026-01-08 19:45:00,TQQQ,Sell,-970,53.82
2026-01-08 19:50:00,TQQQ,Buy,971,54.01
2026-01-08 20:50:00,TQQQ,Sell,-971,54.03
2026-01-09 19:35:00,TQQQ,Buy,969,54.16
2026-01-09 19:40:00,TQQQ,Sell,-969,54.68
2026-01-13 20:25:00,TQQQ,Buy,956,55.18
2026-01-13 20:50:00,TQQQ,Sell,-956,55.04
