2026-01-02 17:05:00,TQQQ,Buy,882,54.24
2026-01-02 19:50:00,TQQQ,Sell,-882,54.58
2026-01-02 20:15:00,TQQQ,Buy,894,53.66
2026-01-02 20:25:00,TQQQ,Sell,-894,52.93
2026-01-08 14:40:00,TQQQ,Buy,872,54.7
2026-01-08 18:30:00,TQQQ,Sell,-872,54.98
2026-01-08 19:35:00,TQQQ,Buy,879,54.375
2026-01-08 20:00:00,TQQQ,Sell,-879,53.71
2026-01-09 19:30:00,TQQQ,Buy,874,54.35
2026-01-09 19:40:00,TQQQ,Sell,-874,54.68
2026-01-09 20:10:00,TQQQ,Buy,883,53.96
2026-01-09 20:15:00,TQQQ,Sell,-883,54.61
2026-01-13 20:20:00,TQQQ,Buy,864,55.47
2026-01-13 20:50:00,TQQQ,Sell,-864,55.04
