2026-02-01 17:34:25,996 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.24 | BUY_L1 signal detected
2026-02-01 17:34:26,078 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 17:34:26,085 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 53.66 | BUY_L1 signal detected
2026-02-01 17:34:26,433 - INFO - [WEBHOOK #4] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 17:34:26,520 - INFO - [WEBHOOK #5] SIGNAL | TQQQ @ 54.35 | BUY_L1 signal detected
2026-02-01 17:34:26,525 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 17:34:26,532 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 53.96 | BUY_L1 signal detected
2026-02-01 17:34:26,536 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.61 | TAKE_PROFIT signal detected
2026-02-01 17:34:26,681 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 55.47 | BUY_L1 signal detected
