session_id,hash,symbols,rsi_period,rsi_entry,rsi_exit,trend_sma,use_trend_filter,allocation,max_hold_days,TotalReturn,SharpeRatio,MaxDrawdown,WinRate,TotalTrades,ProfitFactor,CAGR,AvgWin,AvgLoss,CalmarRatio,ParametersJson
METF_20260210_171317_4901a8a1,72c5b89eb5e7,"QQQ,SPY",2,15,90,200,True,0.9,0,0.32909999999999995,0.3196,0.07,0.7647,68,2.52,0.027229999999999997,1049.3844,-1353.3925,4.2345,"{""symbols"": ""QQQ,SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171317""}"
METF_20260210_171406_9b7c926b,a7727223431d,"QQQ,SPY",2,15,90,200,True,0.9,0,0.637,0.3225,0.135,0.75,144,2.301,0.056260000000000004,1043.166,-1360.0311,3.8282,"{""symbols"": ""QQQ,SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171317""}"
METF_20260210_171454_54d25a16,334e52eba075,"QQQ,SPY",2,15,90,200,True,0.9,0,0.1335,0.183,0.11699999999999999,0.7674,43,1.6341,0.04263,1042.6176,-2105.537,1.2612,"{""symbols"": ""QQQ,SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171317""}"
METF_20260210_171522_bffe4170,31702def7d6d,"QQQ,SPY",2,15,90,200,True,0.9,0,0.8489,0.5639,0.08900000000000001,0.8438,96,3.8272,0.10593999999999999,1483.2031,-2092.732,9.3923,"{""symbols"": ""QQQ,SPY"", ""rsi_period"": 2, ""rsi_entry"": 15, ""rsi_exit"": 90, ""trend_sma"": 200, ""use_trend_filter"": true, ""allocation"": 0.9, ""max_hold_days"": 0, ""data_resolution"": ""minute"", ""algorithm_name"": ""MultiETFMeanReversionAlgorithm"", ""_optimization_run_id"": ""METF_OPT_20260210_171317""}"
