2026-02-01 17:36:47,753 - INFO - [WEBHOOK #1] SIGNAL | TQQQ @ 54.18 | BUY_L1 signal detected
2026-02-01 17:36:47,815 - INFO - [WEBHOOK #2] SIGNAL | TQQQ @ 54.58 | TAKE_PROFIT signal detected
2026-02-01 17:36:47,825 - INFO - [WEBHOOK #3] SIGNAL | TQQQ @ 52.93 | BUY_L1 signal detected
2026-02-01 17:36:48,166 - INFO - [WEBHOOK #4] SIGNAL | TQQQ @ 54.38 | BUY_L1 signal detected
2026-02-01 17:36:48,178 - INFO - [WEBHOOK #5] ALERT | TQQQ @ 53.71 | Stop loss triggered at -1.22%
2026-02-01 17:36:48,180 - INFO - [WEBHOOK #6] SIGNAL | TQQQ @ 53.75 | BUY_L1 signal detected
2026-02-01 17:36:48,234 - INFO - [WEBHOOK #7] SIGNAL | TQQQ @ 54.16 | BUY_L1 signal detected
2026-02-01 17:36:48,238 - INFO - [WEBHOOK #8] SIGNAL | TQQQ @ 54.68 | TAKE_PROFIT signal detected
2026-02-01 17:36:48,350 - INFO - [WEBHOOK #9] SIGNAL | TQQQ @ 55.18 | BUY_L1 signal detected
