2026-01-02 17:05:00,TQQQ,Buy,717,54.24
2026-01-02 19:50:00,TQQQ,Sell,-717,54.58
2026-01-02 20:15:00,TQQQ,Buy,726,53.66
2026-01-02 20:50:00,TQQQ,Sell,-726,53.2
2026-01-08 15:15:00,TQQQ,Buy,711,54.62
2026-01-08 18:20:00,TQQQ,Sell,-711,54.96
2026-01-08 19:35:00,TQQQ,Buy,716,54.375
2026-01-08 20:50:00,TQQQ,Sell,-716,54.03
2026-01-09 19:30:00,TQQQ,Buy,715,54.35
2026-01-09 19:40:00,TQQQ,Sell,-715,54.68
2026-01-09 20:10:00,TQQQ,Buy,721,53.96
2026-01-09 20:15:00,TQQQ,Sell,-721,54.61
2026-01-13 20:20:00,TQQQ,Buy,705,55.47
2026-01-13 20:50:00,TQQQ,Sell,-705,55.04
